iso3,country_name,transition,year,n_natural_classes,natural_loss_sum_km2,weight_sum,bfnee_sum_km2,continent,region_un,subregion,bfnee_per_loss,log_bfnee,log_natural_loss,log_weight_sum
BEN,Benin,2005_2010,2010,65,14876.1756582219,0.00887448168652051,132.018348499254,Africa,Africa,Western Africa,0.008874481690211078,4.890487077347343,9.607583482456086,0.008835334908353872
BEN,Benin,2010_2015,2015,65,14409.2685699318,0.00587538718793857,84.6600320791041,Africa,Africa,Western Africa,0.005875387197360344,4.450386346680548,9.575696326566716,0.005858194410581183
BFA,Burkina Faso,1995_2000,2000,65,15255.6489138919,0.0012049790340098,18.3827370583044,Africa,Africa,Western Africa,0.001204979031836853,2.964382827569109,9.632770681371204,0.0012042536294466475
BFA,Burkina Faso,2000_2005,2005,65,25418.5562814982,8.2224449866519e-4,20.9002680887328,Africa,Africa,Western Africa,8.222444995409045e-4,3.086498878242177,10.14327408910322,8.219066408458684e-4
BFA,Burkina Faso,2005_2010,2010,65,27047.022383966,0.0035215257868178,95.2467866761945,Africa,Africa,Western Africa,0.0035215257829142275,4.566915587428201,10.205369171951931,0.0035153397335277313
BFA,Burkina Faso,2010_2015,2015,65,13730.6373263506,0.00379084901848689,52.050773105772,Africa,Africa,Western Africa,0.003790849023874577,3.9712494381069057,9.52745774338921,0.003783681857718861
BWA,Botswana,1995_2000,2000,65,36306.0876358005,0.0067434961643732,244.829962990136,Africa,Africa,Southern Africa,0.006743496171939923,5.504640089581251,10.49976825286876,0.006720860499478619
BWA,Botswana,2000_2005,2005,65,5911.37394563012,0.00723360960156288,42.7605713239722,Africa,Africa,Southern Africa,0.007233609600282893,3.7787332138779552,8.684802712594921,0.007207572533554573
BWA,Botswana,2005_2010,2010,65,7018.59930211591,0.00252891887936763,17.7494682920444,Africa,Africa,Southern Africa,0.002528918880821909,2.9311653942566993,8.856461415920094,0.0025257265449888243
BWA,Botswana,2010_2015,2015,65,3395.72708735515,0.00217586390850064,7.38864000080915,Africa,Africa,Southern Africa,0.002175863905059574,2.1268784097009155,8.130567625620625,0.0021735001448241966
CAF,Central African Republic,1995_2000,2000,65,44191.4139648844,0.0184482379126896,815.253719029759,Africa,Africa,Middle Africa,0.018448237924171877,6.704725236818863,10.696308423581971,0.018280133510763394
CAF,Central African Republic,2000_2005,2005,65,18061.3052370151,0.0191558500423139,345.979655012717,Africa,Africa,Middle Africa,0.019155850060252635,5.849266147140719,9.801582462070847,0.01897468665016225
CAF,Central African Republic,2005_2010,2010,65,13410.3569482391,0.0086820485225384,116.429369800177,Africa,Africa,Middle Africa,0.0086820485278332,4.765837044762717,9.50385716043601,0.008644576273654593
CAF,Central African Republic,2010_2015,2015,65,13661.9900758384,0.0114149743465408,155.951266248839,Africa,Africa,Middle Africa,0.011414974347305599,5.055935351104026,9.522446001985182,0.011350315117265551
CIV,Côte d'Ivoire,1995_2000,2000,65,23929.085866853,0.0203025146803723,485.820617075687,Africa,Africa,Western Africa,0.020302514679369946,6.187895712467336,10.082891769147256,0.020099166344102717
CIV,Côte d'Ivoire,2000_2005,2005,65,12661.9294075008,0.0185993043730262,235.503078841337,Africa,Africa,Western Africa,0.018599304360505067,5.465961226203854,9.446434059729297,0.018428452543557326
CIV,Côte d'Ivoire,2005_2010,2010,65,13017.1133117833,0.0221155328194625,287.880396154801,Africa,Africa,Western Africa,0.022115532780544137,5.666012748315538,9.47409699833345,0.021874531203923585
CIV,Côte d'Ivoire,2010_2015,2015,65,45424.1887610718,0.0189677477704875,861.594555281179,Africa,Africa,Western Africa,0.018967747774497612,6.759944772208173,10.723822048700356,0.018790102876575277
CMR,Cameroon,1995_2000,2000,65,50056.3144863359,0.00925621040149104,463.331779599748,Africa,Africa,Middle Africa,0.009256210417293622,6.140599338946187,10.820923917648567,0.009213634213765086
CMR,Cameroon,2000_2005,2005,65,16813.4377523121,0.00878731565790312,147.744984679422,Africa,Africa,Middle Africa,0.00878731564929991,5.002233327416467,9.729993186345757,0.008748931895929943
CMR,Cameroon,2005_2010,2010,65,20503.122374218,0.00742525863473111,152.240986411008,Africa,Africa,Middle Africa,0.007425258632921492,5.032011756845194,9.928381236335598,0.00739782710892504
CMR,Cameroon,2010_2015,2015,65,17023.0241278609,0.00710756278035628,120.992212553075,Africa,Africa,Middle Africa,0.0071075627717082255,4.803957211163765,9.742380809425429,0.007082423106933791
COD,Democratic Republic of the Congo,1995_2000,2000,65,394356.072798351,7.3605749451929e-4,290.268742874881,Africa,Africa,Middle Africa,7.360574944748126e-4,5.6742463560278065,12.88501205399775,7.357867370555649e-4
COD,Democratic Republic of the Congo,2000_2005,2005,65,90373.7784287403,0.00207514695574423,187.538871141974,Africa,Africa,Middle Africa,0.002075146955262564,5.2393041985838655,11.41172050777054,0.0020729968123621035
COD,Democratic Republic of the Congo,2005_2010,2010,65,71291.5619574727,0.00233062134068756,166.153635793007,Africa,Africa,Middle Africa,0.0023306213418654233,5.118913364307718,11.174547280588587,0.002327909655228113
COD,Democratic Republic of the Congo,2010_2015,2015,65,87886.6966700435,0.00183537049138277,161.304649595515,Africa,Africa,Middle Africa,0.0018353704907252053,5.08947512226494,11.383815104252529,0.00183368825699684
COG,Republic of the Congo,1995_2000,2000,65,18708.0362847618,0,0,Africa,Africa,Middle Africa,0,0,9.836761909911717,0
COG,Republic of the Congo,2000_2005,2005,65,19743.9080004655,0,0,Africa,Africa,Middle Africa,0,0,9.8906509143260255,0
